chapter_idx,chapter_title,event_idx,word_count,prefix-probing_rougeL,simple_agent_extraction_rougeL,simple_agent_extraction_refined_best_rougeL,simple_agent_extraction_refined_first_rougeL,prefix-probing_weighted_rougeL,simple_agent_extraction_weighted_rougeL,simple_agent_extraction_refined_best_weighted_rougeL,simple_agent_extraction_refined_first_weighted_rougeL
0,Chapter 0,0,559,0.9485148514851485,0.996039603960396,0.996039603960396,0.996039603960396,0.008902280086974445,0.009348323348117216,0.009348323348117216,0.009348323348117216
0,Chapter 0,1,410,0.20844327176781002,0.36675461741424803,0.46701846965699206,0.46701846965699206,0.0014348848459503378,0.002524670804899961,0.003214868578901389,0.003214868578901389
0,Chapter 0,2,274,0.148,0.268,0.344,0.328,0.000680859637340497,0.0012329079919409,0.001582538616521155,0.0015089321692411013
0,Chapter 0,3,785,0.16942148760330578,0.6845730027548209,0.6845730027548209,0.6845730027548209,0.002232972930970367,0.009022662981237986,0.009022662981237986,0.009022662981237986
0,Chapter 0,4,978,0.12811791383219956,0.26643990929705214,0.373015873015873,0.373015873015873,0.0021037494917375953,0.004375054252728627,0.006125075953820077,0.006125075953820077
0,Chapter 0,5,641,0.17849898580121704,0.15618661257606492,0.15618661257606492,0.15618661257606492,0.0019210518787538635,0.0016809203939096309,0.0016809203939096309,0.0016809203939096309
0,Chapter 0,6,825,0.1765601217656012,0.258751902587519,0.258751902587519,0.258751902587519,0.0024456363407760412,0.0035841222235510942,0.0035841222235510942,0.0035841222235510942
0,Chapter 0,7,836,0.11225997045790251,0.14180206794682423,0.1432791728212703,0.1432791728212703,0.0015757108009201897,0.0019903715380044503,0.002011104574858663,0.002011104574858663
0,Chapter 0,8,890,0.12362637362637363,0.1565934065934066,0.19917582417582416,0.1662087912087912,0.00184733835674064,0.0023399619185381438,0.002976267352526587,0.0024836437907290827
0,Chapter 0,9,938,0.13375,0.1775,0.1775,0.1775,0.002106405305574211,0.0027954163868368033,0.0027954163868368033,0.0027954163868368033
1,Chapter 1,0,354,0.8478260869565217,0.9161490683229814,0.9720496894409938,0.9720496894409938,0.005039127514818816,0.005445211050811542,0.00577746121662377,0.00577746121662377
1,Chapter 1,1,163,0.19444444444444445,0.4027777777777778,0.5763888888888888,0.5208333333333334,0.0005321431236474891,0.0011022964704126559,0.001577424259383628,0.001425383366912917
1,Chapter 1,2,210,0.16666666666666666,0.3385416666666667,0.5104166666666666,0.3958333333333333,0.0005876427132303559,0.0011936492612491605,0.0017996558092679648,0.0013956514439220954
1,Chapter 1,3,408,0.14814814814814814,0.2808641975308642,0.35185185185185186,0.2962962962962963,0.00101484963808671,0.0019239857722060545,0.002410267890455936,0.00202969927617342
1,Chapter 1,4,640,0.14615384615384616,0.21346153846153845,0.21346153846153845,0.21346153846153845,0.0015704912951387097,0.002293743865268378,0.002293743865268378,0.002293743865268378
1,Chapter 1,5,433,0.14207650273224043,0.24863387978142076,0.33060109289617484,0.33060109289617484,0.0010328933123415062,0.0018075632965976359,0.0024034632844869663,0.0024034632844869663
1,Chapter 1,6,534,0.162839248434238,0.2609603340292276,0.2776617954070981,0.2776617954070981,0.0014599758002666737,0.00233970480811967,0.0024894459158393287,0.0024894459158393287
1,Chapter 1,7,1556,0.08134757600657354,0.1561216105176664,0.1561216105176664,0.1561216105176664,0.0021251985941274083,0.004078663968527349,0.004078663968527349,0.004078663968527349
1,Chapter 1,8,683,0.152428810720268,0.21608040201005024,0.3082077051926298,0.22780569514237856,0.0017479663821682848,0.0024778864098869095,0.0035343496079007076,0.002612345362361393
1,Chapter 1,9,324,0.22988505747126436,0.39846743295019155,0.41762452107279696,0.41762452107279696,0.00125055001042125,0.0021676200180635002,0.002271832518931938,0.002271832518931938
2,Chapter 2,0,328,0.9902912621359223,0.9870550161812298,0.9967637540453075,0.9967637540453075,0.005453585191077612,0.005435763017250561,0.005489229538731714,0.005489229538731714
2,Chapter 2,1,356,0.2634920634920635,0.3523809523809524,0.5301587301587302,0.38412698412698415,0.0015749357723837242,0.002106239406440884,0.0031688466745552037,0.002295990704318441
2,Chapter 2,2,406,0.20107238605898123,0.48257372654155495,0.48257372654155495,0.48257372654155495,0.0013706411809930553,0.003289538834383333,0.003289538834383333,0.003289538834383333
2,Chapter 2,3,788,0.20217729393468117,0.3405909797822706,0.3405909797822706,0.3405909797822706,0.0026748775624669033,0.0045061398936942455,0.0045061398936942455,0.0045061398936942455
2,Chapter 2,4,675,0.20218579234972678,0.31876138433515483,0.48816029143898,0.48816029143898,0.0022913937178654395,0.0036125576633013684,0.005532374021512953,0.005532374021512953
2,Chapter 2,5,707,0.1400329489291598,0.36902800658978585,0.36902800658978585,0.36902800658978585,0.0016622447094176624,0.004380503704818311,0.004380503704818311,0.004380503704818311
2,Chapter 2,6,680,0.16934046345811052,0.26559714795008915,0.3048128342245989,0.28342245989304815,0.001933369965606366,0.003032338156582616,0.0034800659380914587,0.0032358507845411813
2,Chapter 2,7,627,0.14285714285714285,0.2650375939849624,0.3026315789473684,0.3026315789473684,0.0015038856375323803,0.002790103617000863,0.0031858629952988583,0.0031858629952988583
2,Chapter 2,8,386,0.19811320754716982,0.36792452830188677,0.449685534591195,0.39937106918238996,0.0012839438904165136,0.002384467225059239,0.0029143488306279594,0.0025882678425856705
2,Chapter 2,9,809,0.21396054628224584,0.25948406676783003,0.30349013657056145,0.30349013657056145,0.0029062135987632117,0.003524556917649001,0.004122288792571931,0.004122288792571931
2,Chapter 2,10,1180,0.17159199237368922,0.2669208770257388,0.34318398474737843,0.2888465204957102,0.0033995727166043197,0.005288224225828942,0.0067991454332086395,0.005722614072950605
3,Chapter 3,0,885,0.16838046272493573,0.38817480719794345,0.38817480719794345,0.38817480719794345,0.0025019595284010766,0.005767876164710879,0.005767876164710879,0.005767876164710879
3,Chapter 3,1,1184,0.10979228486646884,0.21167161226508407,0.27596439169139464,0.2334322453016815,0.0021825732921742632,0.0042078440047323635,0.005485927464113688,0.004640426098676811
3,Chapter 3,2,714,0.14285714285714285,0.22591362126245848,0.22591362126245848,0.22591362126245848,0.001712558764271323,0.002708232464429069,0.002708232464429069,0.002708232464429069
3,Chapter 3,3,740,0.12521440823327615,0.1783876500857633,0.20240137221269297,0.19210977701543738,0.0015557196456115574,0.0022163677142959175,0.0025147249066049832,0.002386857538472526
3,Chapter 3,4,1019,0.1116816431322208,0.2554557124518614,0.2554557124518614,0.2554557124518614,0.0019107386560062625,0.004370540144198232,0.004370540144198232,0.004370540144198232
3,Chapter 3,5,995,0.12100456621004566,0.3127853881278539,0.3230593607305936,0.3230593607305936,0.0020214832669408233,0.005225343539073449,0.00539697891079484,0.00539697891079484
3,Chapter 3,6,432,0.19689119170984457,0.34974093264248707,0.45595854922279794,0.4015544041450777,0.001428089234698671,0.002536737456372639,0.003307154017196923,0.0029125504128722896
