chapter_idx,chapter_title,event_idx,word_count,prefix-probing_rougeL,simple_agent_extraction_rougeL,simple_agent_extraction_refined_best_rougeL,simple_agent_extraction_refined_first_rougeL,prefix-probing_weighted_rougeL,simple_agent_extraction_weighted_rougeL,simple_agent_extraction_refined_best_weighted_rougeL,simple_agent_extraction_refined_first_weighted_rougeL
0,Chapter 0,0,336,0.2264808362369338,0.21254355400696864,0.4738675958188153,0.313588850174216,0.0010062354345808286,0.0009443132539912394,0.002105354140046042,0.001393249063265763
0,Chapter 0,1,426,0.1752021563342318,0.25336927223719674,0.4582210242587601,0.2857142857142857,0.0009869108322320729,0.0014272248958433055,0.002581151407376191,0.001609423818716919
0,Chapter 0,2,401,0.2087912087912088,0.33791208791208793,0.48626373626373626,0.41483516483516486,0.0011070964314557788,0.0017917481719613264,0.0025783693206272744,0.002199625804602929
0,Chapter 0,3,88,0.06756756756756757,0.8378378378378378,0.8378378378378378,0.8378378378378378,7.862303898058797e-05,0.0009749256833592908,0.0009749256833592908,0.0009749256833592908
0,Chapter 0,4,404,0.13522012578616352,0.31761006289308175,0.31761006289308175,0.31761006289308175,0.0007223564755191344,0.0016966977680798274,0.0016966977680798274,0.0016966977680798274
0,Chapter 0,5,75,0.109375,0.625,0.703125,0.703125,0.0001084696400708751,0.0006198265146907148,0.0006973048290270542,0.0006973048290270542
1,Chapter 1,0,333,0.18571428571428572,0.2392857142857143,0.3392857142857143,0.3392857142857143,0.0008177459754959556,0.0010536342376582506,0.0014939589936945345,0.0014939589936945345
1,Chapter 1,1,470,0.22705314009661837,0.2971014492753623,0.2971014492753623,0.2971014492753623,0.0014110884595960468,0.0018464242609607844,0.0018464242609607844,0.0018464242609607844
1,Chapter 1,2,149,0.1111111111111111,0.4126984126984127,0.6031746031746031,0.47619047619047616,0.000218913542373728,0.0008131074431024183,0.0011883878014573807,0.0009382008958874057
1,Chapter 1,3,124,0.1206896551724138,0.3793103448275862,0.6637931034482759,0.6637931034482759,0.00019788852036838273,0.0006219353497292028,0.0010883868620261048,0.0010883868620261048
1,Chapter 1,4,212,0.13114754098360656,0.2786885245901639,0.4808743169398907,0.41530054644808745,0.000367641798964967,0.0007812388228005548,0.001348019929538212,0.0011641990300557288
1,Chapter 1,5,36,0.037037037037037035,0.7407407407407407,0.7777777777777778,0.7777777777777778,1.7630620862313664e-05,0.0003526124172462733,0.000370243038108587,0.000370243038108587
2,Chapter 2,0,364,0.14545454545454545,0.3575757575757576,0.49393939393939396,0.49393939393939396,0.0007000959266053281,0.001721069152904765,0.0023774090840972604,0.0023774090840972604
2,Chapter 2,1,709,0.12374581939799331,0.26421404682274247,0.31438127090301005,0.2692307692307692,0.00116012728364818,0.002477028524546114,0.002947350396295376,0.00252406071172104
2,Chapter 2,2,167,0.11475409836065574,0.4180327868852459,0.5163934426229508,0.4262295081967213,0.0002534040465743198,0.0009231147410921649,0.0011403182095844392,0.0009412150301331877
2,Chapter 2,3,328,0.15384615384615385,0.1862348178137652,0.5425101214574899,0.5222672064777328,0.0006672511895583327,0.0008077251242021922,0.0023529384052846467,0.0022651421961322345
2,Chapter 2,4,177,0.13709677419354838,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.0003208701905727933,0.0012079818939211041,0.0012079818939211041,0.0012079818939211041
2,Chapter 2,5,473,0.13005780346820808,0.34971098265895956,0.3959537572254335,0.36416184971098264,0.0008134416872565311,0.0021872543146231175,0.002476478025647662,0.002277636724318287
2,Chapter 2,6,296,0.16049382716049382,0.35390946502057613,0.5349794238683128,0.4691358024691358,0.0006281724914646572,0.0013852008786143725,0.0020939083048821913,0.0018361965135120753
3,Chapter 3,0,284,0.09259259259259259,0.3425925925925926,0.3425925925925926,0.3425925925925926,0.00034771502256229726,0.0012865455834805,0.0012865455834805,0.0012865455834805
